Name,Designator,Footprint,Quantity,Value,Price,LCSC Part #,Purchase Link
Capacitors 1uF,"C1, C10, C2, C3, C4, C5, C6, C8",0603,8,1uF,$0.0032,C15849,https://jlcpcb.com/partdetail/C15849
Capacitors 100nF,"C11, C12, C7, C9",0603,4,100nF,$0.0032,C14663,https://jlcpcb.com/partdetail/C14663
Capacitors 4.7uF,"C13, C14",0603,2,4.7uF,$0.0110,C19666,https://jlcpcb.com/partdetail/C19666
S2B-PH-SM4-TB,CN1,CONN-SMD_P2.00_S2B-PH-SM4-TB-LF-SN,1,S2B-PH-SM4-TB,$0.2014,C295747,https://jlcpcb.com/partdetail/C295747
Diodes,"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D4, D5, D6, D7, D8, D9",D_SOD-123,30,~,$0.0117,C81598,https://jlcpcb.com/partdetail/C81598
FS8205A,Q1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,FS8205A_C2830320,$0.0470,C2830320,https://jlcpcb.com/partdetail/C2830320
Resistors 5.1k,"R1, R10, R13, R2, R3, R4, R5, R6, R7, R8, R9",0603,11,5.1k,$0.0016,C23186,https://jlcpcb.com/partdetail/C23186
Resistors 100,R11,0603,1,100,$0.0016,C22775,https://jlcpcb.com/partdetail/C22775
Resistors 1k,"R12, R14, R19",0603,3,1k,$0.0016,C21190,https://jlcpcb.com/partdetail/C21190
Kailh Hotswap Sockets,"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S20, S21, S22, S23, S24, S25, S26, S27, S3, S4, S5, S6, S7, S8, S9",SW_Hotswap_Kailh_MX,27,~,$0.1183,C2803348,https://jlcpcb.com/partdetail/C2803348
Nice Nano V2,U1,Nice_Nano_V2,1,Nice_Nano_V2,€24.63,,https://42keebs.eu/shop/parts/controllers/nice-nano-v2-wireless-controller/
SL2.1S,U2,SSOP-16_L4.6-W2.6-P0.53-LS4.0-BL,1,SL2.1S,$0.2258,C2684433,https://jlcpcb.com/partdetail/C2684433
DW01A,U3,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,DW01A_C351410,$0.0426,C351410,https://jlcpcb.com/partdetail/C351410
MCP73831T-2ACI/OT,U4,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,1,MCP73831T-2ACI/OT,$0.7585,C424093,https://jlcpcb.com/partdetail/C424093
USB-C Connector,"USB1, USB2, USB3, USB4, USB5",USB-C-SMD_TYPE-C-6PIN-2MD-073,5,TYPE-C 16PIN 2MD,$0.0740,C2765186,https://jlcpcb.com/partdetail/C2765186
